vendor,location
"Creamy Cow, LLC",Dairy
Deck Family Farm,Deck Meat & Eggs
Deck Family Farm's Hyland Processing,Deck Meat & Eggs
BNF Kombucha and Jun,Butt Cooler
Creole Me Up,Butt Cooler
Oregon Permaculture Works ,Butt Cooler
Sweet Creek,Green Rolling Rack
River Ranch Oregon Olive OIl,Green Rolling Rack
Queen of Hearts Superfood,Green Rolling Rack
Spoiled Rotten Vinegar,Green Rolling Rack
Full Farm CSA,Green Rolling Rack
Jar Joy Goods,Green Rolling Rack
Radiant Coffee Roasters,Green Rolling Rack
Camas Country Mill,Green Rolling Rack
My Brothers Farm,Green Rolling Rack
Lonesome Whistle,Green Rolling Rack
Kiko Denzer,Green Rolling Rack
Woven Roots,Green Rolling Rack
Grazier's Garden,Vegetables
MINYO KINOKO Foraged Goods,Vegetables
Camas Swale Farm,Vegetables
OGC,Vegetables
Little Wings,Vegetables
Red Tail Growers,Vegetables
Wintergreen,Vegetables
Gathering Together Farm ,Vegetables
Sweet Leaf Organic Farm ,Vegetables
Full Circle Farm ,Vegetables
Queneer Farm ,Vegetables
Small is Beautiful Farm ,Vegetables
Massimo's Fruit,Vegetables
Confluence Farm ,Vegetables
Elegant Elephant Baking Co.,Bread Rack
Reality Kitchen Nonprofit,Bread Rack
Barrett Baking,Bread Rack
The Extra Loaf,Bread Rack
Salt of the Earth Bakery,Bread Rack
RL Plants,Bread Rack
